mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	n/a	n/a	0	0	0
13997	START	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
14011	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	19	4	9	6
16730	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	11	3	4	4
19281	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	15	3	9	3
21750	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	19	8	3	8
23954	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	6	1	1	4
25122	STOP	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
64352	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	OUTDOORS	987	n/a	n/a	0	0	0
66787	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	COMPASS	358	n/a	n/a	0	0	0
69290	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	LOVER	846	n/a	n/a	0	0	0
71942	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	PLAYGROUND	1087	n/a	n/a	0	0	0
74714	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	SWORD	1423	n/a	n/a	0	0	0
77385	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	BURGLAR	200	n/a	n/a	0	0	0
80082	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	DONOR	485	n/a	n/a	0	0	0
82783	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	SHORTCAKE	1292	n/a	n/a	0	0	0
85436	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	PARENT	1013	n/a	n/a	0	0	0
87977	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	ROCKET	1202	n/a	n/a	0	0	0
90506	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	MATTRESS	879	n/a	n/a	0	0	0
93109	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	GRILL	661	n/a	n/a	0	0	0
95860	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	PICNIC	1060	n/a	n/a	0	0	0
98380	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	SALAD	1224	n/a	n/a	0	0	0
100814	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	LEOPARD	812	n/a	n/a	0	0	0
103383	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	PANTHER	1009	n/a	n/a	0	0	0
106175	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	SLIDE	1326	n/a	n/a	0	0	0
108871	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	SUNRISE	1407	n/a	n/a	0	0	0
111630	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	CONVICT	371	n/a	n/a	0	0	0
114260	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	CAPTIVE	240	n/a	n/a	0	0	0
116694	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	MISSILE	900	n/a	n/a	0	0	0
119247	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	SISTER	1312	n/a	n/a	0	0	0
121965	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	APPLE	33	n/a	n/a	0	0	0
124608	WORD	wordpools/wasnorm_wordpool_576.txt	LTP299	ltpFR2	5	1	TILE	1468	n/a	n/a	0	0	0
126220	START	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
127354	DISTRACTOR	n/a	LTP299	ltpFR2	5	1	n/a	n/a	n/a	n/a	0	0	0
127361	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	1	15	5	5	5
128852	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	1	13	7	2	4
131471	PROB	n/a	LTP299	ltpFR2	5	n/a	n/a	n/a	1	15	4	6	5
