onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
243.434	n/a	SESS_START	121717	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	n/a	n/a	0	0	0
270.072	n/a	START	135036	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
270.118	n/a	PROB	135059	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	17	6	3	8
272.47	n/a	PROB	136235	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	12	6	3	3
273.688	n/a	PROB	136844	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	6	3	1	2
275.274	n/a	PROB	137637	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	16	4	5	7
276.958	n/a	PROB	138479	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	15	9	5	1
278.19	n/a	PROB	139095	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	21	7	9	5
280.514	n/a	STOP	140257	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
326.13	n/a	DISTRACTOR	163065	n/a	LTP093	ltpFR2	19	1	n/a	n/a	n/a	n/a	0	0	0
326.13	n/a	START	163065	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
326.196	n/a	PROB	163098	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	22	5	8	9
329.098	n/a	PROB	164549	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	7	3	1	3
330.602	n/a	PROB	165301	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	12	1	6	5
331.952	n/a	PROB	165976	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	22	5	8	9
333.77	n/a	PROB	166885	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	10	4	2	4
335.404	n/a	PROB	167702	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	9	2	4	3
337.306	n/a	PROB	168653	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	23	6	8	9
339.624	n/a	PROB	169812	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	17	3	9	5
341.726	n/a	PROB	170863	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	18	6	9	3
343.462	n/a	PROB	171731	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	10	2	1	7
345.028	n/a	PROB	172514	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	18	6	5	7
347.464	n/a	PROB	173732	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	10	2	3	5
349.262	n/a	STOP	174631	n/a	LTP093	ltpFR2	19	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
