onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
215.57	n/a	SESS_START	107785	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	n/a	n/a	0	0	0
227.548	n/a	START	113774	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
227.56	n/a	PROB	113780	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	15	9	4	2
229.678	n/a	PROB	114839	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	15	3	5	7
231.064	n/a	PROB	115532	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	23	9	7	7
232.598	n/a	PROB	116299	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	15	3	6	6
234.214	n/a	PROB	117107	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	23	7	7	9
236.0	n/a	PROB	118000	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	1	2	6	7
237.354	n/a	PROB	118677	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	16	2	8	6
238.716	n/a	STOP	119358	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
271.846	n/a	WORD	135923	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	ACTRESS	6	n/a	n/a	0	0	0
274.496	n/a	WORD	137248	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	ONION	977	n/a	n/a	0	0	0
277.03	n/a	WORD	138515	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	PADDLE	1000	n/a	n/a	0	0	0
279.82	n/a	WORD	139910	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	SMOG	1330	n/a	n/a	0	0	0
282.586	n/a	WORD	141293	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	LACE	792	n/a	n/a	0	0	0
285.054	n/a	WORD	142527	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	YACHT	1629	n/a	n/a	0	0	0
287.842	n/a	WORD	143921	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	BOARD	143	n/a	n/a	0	0	0
290.426	n/a	WORD	145213	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	GAVEL	627	n/a	n/a	0	0	0
293.06	n/a	WORD	146530	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	PRINCESS	1125	n/a	n/a	0	0	0
295.48	n/a	WORD	147740	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	FRAGRANCE	599	n/a	n/a	0	0	0
297.948	n/a	WORD	148974	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	COUNTY	389	n/a	n/a	0	0	0
300.636	n/a	WORD	150318	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	CHAUFFEUR	283	n/a	n/a	0	0	0
303.104	n/a	WORD	151552	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	MESSAGE	888	n/a	n/a	0	0	0
305.606	n/a	WORD	152803	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	GLOBE	641	n/a	n/a	0	0	0
308.392	n/a	WORD	154196	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	MONSTER	912	n/a	n/a	0	0	0
311.092	n/a	WORD	155546	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	GOBLIN	645	n/a	n/a	0	0	0
313.73	n/a	WORD	156865	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	EXPERT	543	n/a	n/a	0	0	0
316.364	n/a	WORD	158182	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	SHORTCAKE	1292	n/a	n/a	0	0	0
318.948	n/a	WORD	159474	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	FRUIT	610	n/a	n/a	0	0	0
321.652	n/a	WORD	160826	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	TORTOISE	1486	n/a	n/a	0	0	0
324.154	n/a	WORD	162077	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	LAMP	798	n/a	n/a	0	0	0
326.706	n/a	WORD	163353	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	TUNNEL	1519	n/a	n/a	0	0	0
329.292	n/a	WORD	164646	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	FLESH	579	n/a	n/a	0	0	0
331.942	n/a	WORD	165971	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	RUST	1219	n/a	n/a	0	0	0
333.562	n/a	START	166781	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
334.678	n/a	DISTRACTOR	167339	n/a	LTP300	ltpFR2	4	1	n/a	n/a	n/a	n/a	0	0	0
334.696	n/a	PROB	167348	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	19	7	8	4
336.93	n/a	PROB	168465	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	15	2	5	8
338.164	n/a	PROB	169082	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	15	6	7	2
339.482	n/a	PROB	169741	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	15	5	8	3
341.066	n/a	PROB	170533	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	7	1	4	2
343.67	n/a	PROB	171835	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	12	9	2	1
345.604	n/a	PROB	172802	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	8	6	1	1
346.688	n/a	PROB	173344	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	16	4	9	3
348.574	n/a	PROB	174287	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	9	4	4	1
349.74	n/a	PROB	174870	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	21	9	7	5
351.724	n/a	PROB	175862	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	21	4	8	9
353.592	n/a	PROB	176796	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	9	4	4	1
355.01	n/a	PROB	177505	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	18	9	3	6
356.812	n/a	STOP	178406	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
359.38	n/a	REC_START	179690	n/a	LTP300	ltpFR2	4	1	n/a	n/a	n/a	n/a	0	0	0
360.226	n/a	REC_WORD	180113	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	ACTRESS	6	n/a	n/a	0	0	0
362.598	n/a	REC_WORD	181299	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	PRINCESS	1125	n/a	n/a	0	0	0
365.2	n/a	REC_WORD	182600	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	SMOG	1330	n/a	n/a	0	0	0
366.2	n/a	REC_WORD_VV	183100	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	<>	-1	n/a	n/a	0	0	0
367.682	n/a	REC_WORD	183841	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	TUNNEL	1519	n/a	n/a	0	0	0
371.134	n/a	REC_WORD	185567	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	LAMP	798	n/a	n/a	0	0	0
373.318	n/a	REC_WORD	186659	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	SHORTCAKE	1292	n/a	n/a	0	0	0
375.522	n/a	REC_WORD	187761	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	FRUIT	610	n/a	n/a	0	0	0
378.298	n/a	REC_WORD	189149	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	MONSTER	912	n/a	n/a	0	0	0
380.606	n/a	REC_WORD	190303	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	GOBLIN	645	n/a	n/a	0	0	0
382.786	n/a	REC_WORD	191393	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	EXPERT	543	n/a	n/a	0	0	0
385.05	n/a	REC_WORD	192525	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	1	ONION	977	n/a	n/a	0	0	0
449.818	n/a	WORD	224909	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	CRAB	397	n/a	n/a	0	0	0
452.62	n/a	WORD	226310	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	RECORD	1176	n/a	n/a	0	0	0
455.148	n/a	WORD	227574	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	HEDGE	699	n/a	n/a	0	0	0
457.852	n/a	WORD	228926	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	SCALLOP	1242	n/a	n/a	0	0	0
460.288	n/a	WORD	230144	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	TREAT	1501	n/a	n/a	0	0	0
462.738	n/a	WORD	231369	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	HERO	706	n/a	n/a	0	0	0
465.264	n/a	WORD	232632	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	PARROT	1015	n/a	n/a	0	0	0
467.96	n/a	WORD	233980	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	SPARROW	1347	n/a	n/a	0	0	0
470.468	n/a	WORD	235234	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	FOX	598	n/a	n/a	0	0	0
472.93	n/a	WORD	236465	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	DRINK	498	n/a	n/a	0	0	0
475.618	n/a	WORD	237809	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	GLASS	639	n/a	n/a	0	0	0
478.058	n/a	WORD	239029	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	TEACHER	1440	n/a	n/a	0	0	0
480.576	n/a	WORD	240288	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	POSTAGE	1113	n/a	n/a	0	0	0
483.172	n/a	WORD	241586	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	WARDROBE	1587	n/a	n/a	0	0	0
485.86	n/a	WORD	242930	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	NAPKIN	937	n/a	n/a	0	0	0
488.56	n/a	WORD	244280	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	EGYPT	519	n/a	n/a	0	0	0
490.996	n/a	WORD	245498	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	HEADBAND	696	n/a	n/a	0	0	0
493.466	n/a	WORD	246733	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	BUREAU	199	n/a	n/a	0	0	0
496.016	n/a	WORD	248008	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	SLIDE	1326	n/a	n/a	0	0	0
498.57	n/a	WORD	249285	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	STOVE	1388	n/a	n/a	0	0	0
501.372	n/a	WORD	250686	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	SKILLET	1317	n/a	n/a	0	0	0
504.14	n/a	WORD	252070	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	GAZELLE	628	n/a	n/a	0	0	0
506.71	n/a	WORD	253355	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	FIDDLE	561	n/a	n/a	0	0	0
509.194	n/a	WORD	254597	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	LADY	794	n/a	n/a	0	0	0
510.802	n/a	START	255401	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
511.818	n/a	DISTRACTOR	255909	n/a	LTP300	ltpFR2	4	2	n/a	n/a	n/a	n/a	0	0	0
511.83	n/a	PROB	255915	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	22	9	8	5
514.198	n/a	PROB	257099	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	24	9	8	7
517.134	n/a	PROB	258567	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	16	5	6	5
519.77	n/a	PROB	259885	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	8	2	1	5
520.936	n/a	PROB	260468	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	17	4	7	6
522.624	n/a	PROB	261312	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	19	6	4	9
524.206	n/a	PROB	262103	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	7	2	3	2
526.628	n/a	PROB	263314	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	12	2	9	1
527.86	n/a	PROB	263930	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	24	9	7	8
529.98	n/a	PROB	264990	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	11	1	9	1
531.012	n/a	PROB	265506	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	14	3	2	9
532.48	n/a	PROB	266240	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	11	6	2	3
534.11	n/a	STOP	267055	n/a	LTP300	ltpFR2	4	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
536.654	n/a	REC_START	268327	n/a	LTP300	ltpFR2	4	2	n/a	n/a	n/a	n/a	0	0	0
540.29	n/a	REC_WORD	270145	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	HEDGE	699	n/a	n/a	0	0	0
542.406	n/a	REC_WORD	271203	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	TREAT	1501	n/a	n/a	0	0	0
555.842	n/a	REC_WORD	277921	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	SPARROW	1347	n/a	n/a	0	0	0
557.816	n/a	REC_WORD	278908	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	PARROT	1015	n/a	n/a	0	0	0
559.76	n/a	REC_WORD	279880	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	TEACHER	1440	n/a	n/a	0	0	0
561.586	n/a	REC_WORD	280793	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	NAPKIN	937	n/a	n/a	0	0	0
563.544	n/a	REC_WORD	281772	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	WARDROBE	1587	n/a	n/a	0	0	0
566.54	n/a	REC_WORD	283270	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	EGYPT	519	n/a	n/a	0	0	0
568.222	n/a	REC_WORD	284111	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	HEADBAND	696	n/a	n/a	0	0	0
576.378	n/a	REC_WORD	288189	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	SLIDE	1326	n/a	n/a	0	0	0
578.214	n/a	REC_WORD	289107	wordpools/wasnorm_wordpool_576.txt	LTP300	ltpFR2	4	2	STOVE	1388	n/a	n/a	0	0	0
