onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	answer	test_x	test_y	test_z	color_r	color_g	color_b	case	font
529.712	n/a	PROB	264856	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	2	7	3	n/a	n/a	n/a	n/a	n/a
531.176	n/a	PROB	265588	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18	7	9	2	n/a	n/a	n/a	n/a	n/a
533.806	n/a	PROB	266903	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16	2	7	7	n/a	n/a	n/a	n/a	n/a
535.532	n/a	STOP	267766	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
537.518	n/a	WORD	268759	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	AUTOMOBILE	62	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
540.53	n/a	START	270265	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
541.66	n/a	PROB	270830	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20	7	8	5	n/a	n/a	n/a	n/a	n/a
547.518	n/a	STOP	273759	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
549.45	n/a	WORD	274725	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	REGISTER	1180	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
552.462	n/a	START	276231	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
553.594	n/a	PROB	276797	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	21	9	8	3	n/a	n/a	n/a	n/a	n/a
555.79	n/a	PROB	277895	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	5	5	2	n/a	n/a	n/a	n/a	n/a
560.462	n/a	STOP	280231	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
561.548	n/a	WORD	280774	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	TORCH	1484	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
564.56	n/a	START	282280	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
565.692	n/a	PROB	282846	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17	4	6	7	n/a	n/a	n/a	n/a	n/a
568.92	n/a	PROB	284460	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18	4	9	5	n/a	n/a	n/a	n/a	n/a
571.126	n/a	STOP	285563	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
573.53	n/a	WORD	286765	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	SKI	1316	n/a	n/a	0	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
576.542	n/a	START	288271	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
577.474	n/a	PROB	288737	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	9	3	1	n/a	n/a	n/a	n/a	n/a
579.422	n/a	PROB	289711	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	7	5	1	n/a	n/a	n/a	n/a	n/a
583.382	n/a	STOP	291691	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
585.628	n/a	WORD	292814	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP250	ltpFR	15	2	0	COWBOY	395	n/a	n/a	1	n/a	0	0	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
588.642	n/a	START	294321	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
589.622	n/a	PROB	294811	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	16	4	3	9	n/a	n/a	n/a	n/a	n/a
592.918	n/a	PROB	296459	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	14	4	6	4	n/a	n/a	n/a	n/a	n/a
594.732	n/a	PROB	297366	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	19	9	2	8	n/a	n/a	n/a	n/a	n/a
596.35	n/a	STOP	298175	n/a	LTP250	ltpFR	15	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
