onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
225.184	n/a	SESS_START	112592	n/a	LTP074	ltpFR	18	n/a	n/a	n/a	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a
282.312	n/a	WORD	141156	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	CUB	419	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
286.454	n/a	WORD	143227	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	LIVER	833	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
290.562	n/a	WORD	145281	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	APRON	35	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
294.554	n/a	WORD	147277	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	ROBE	1198	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
298.62	n/a	WORD	149310	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	SQUIRREL	1362	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
302.554	n/a	WORD	151277	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	PREDATOR	1120	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
306.57	n/a	WORD	153285	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	WAVE	1596	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
310.486	n/a	WORD	155243	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	STREAM	1392	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
314.636	n/a	WORD	157318	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	ICING	732	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
318.462	n/a	WORD	159231	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	DEPARTMENT	449	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
322.544	n/a	WORD	161272	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	STORE	1387	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
326.444	n/a	WORD	163222	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	GROOM	665	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
330.328	n/a	WORD	165164	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	CAGE	218	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
334.228	n/a	WORD	167114	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	0	GALLON	618	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
338.12	n/a	WORD	169060	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	INTESTINE	742	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
342.078	n/a	WORD	171039	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	18	1	1	WALNUT	1584	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
347.654	n/a	REC_START	173827	n/a	LTP074	ltpFR	18	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
