onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
240.846	n/a	SESS_START	120423	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	n/a	n/a	0	0	0
263.046	n/a	START	131523	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
263.078	n/a	PROB	131539	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	18	4	8	6
265.226	n/a	PROB	132613	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	10	3	1	6
266.574	n/a	PROB	133287	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	17	1	7	9
267.94	n/a	PROB	133970	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	19	5	9	5
269.388	n/a	PROB	134694	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	8	2	1	5
270.552	n/a	PROB	135276	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	14	1	7	6
272.5	n/a	PROB	136250	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	17	3	7	7
274.462	n/a	STOP	137231	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
330.08	n/a	DISTRACTOR	165040	n/a	LTP115	ltpFR2	6	1	n/a	n/a	n/a	n/a	0	0	0
330.08	n/a	START	165040	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
330.112	n/a	PROB	165056	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	17	8	2	7
331.478	n/a	PROB	165739	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	19	4	9	6
333.042	n/a	PROB	166521	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	24	6	9	9
335.54	n/a	PROB	167770	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	19	6	8	5
337.086	n/a	PROB	168543	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	14	4	6	4
338.218	n/a	PROB	169109	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	7	2	3	2
339.9	n/a	PROB	169950	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	8	2	3	1
340.932	n/a	PROB	170466	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	17	5	3	9
343.394	n/a	PROB	171697	n/a	LTP115	ltpFR2	6	n/a	n/a	n/a	1	17	5	6	6
