onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
277.166	n/a	SESS_START	138583	n/a	LTP120	ltpFR	17	n/a	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a
390.124	n/a	WORD	195062	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	VAN	1548	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
394.064	n/a	WORD	197032	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	GUN	673	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
398.038	n/a	WORD	199019	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	ROUGE	1213	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
402.036	n/a	WORD	201018	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	RACCOON	1153	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
405.902	n/a	WORD	202951	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	GANGSTER	620	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
409.842	n/a	WORD	204921	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	GRADUATE	653	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
414.0	n/a	WORD	207000	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	TEACHER	1440	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
418.074	n/a	WORD	209037	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	DRIVER	499	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
422.022	n/a	WORD	211011	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	MARINE	869	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
426.146	n/a	WORD	213073	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	BARRACUDA	90	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
430.012	n/a	WORD	215006	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	SCARF	1246	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
434.126	n/a	WORD	217063	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	SLUG	1329	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
438.242	n/a	WORD	219121	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	MASCARA	875	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
442.066	n/a	WORD	221033	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	SKELETON	1314	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
446.19	n/a	WORD	223095	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	LIGHTNING	820	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
450.238	n/a	WORD	225119	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	HAIL	676	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
456.038	n/a	REC_START	228019	n/a	LTP120	ltpFR	17	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
457.444	n/a	REC_WORD	228722	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	LIGHTNING	820	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
458.502	n/a	REC_WORD	229251	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	SCARF	1246	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
459.828	n/a	REC_WORD	229914	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	SKELETON	1314	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
461.276	n/a	REC_WORD	230638	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	HAIL	676	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
462.782	n/a	REC_WORD	231391	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	BARRACUDA	90	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
464.48	n/a	REC_WORD	232240	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	MARINE	869	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
466.13	n/a	REC_WORD	233065	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	0	VAN	1548	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
468.77	n/a	REC_WORD	234385	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	n/a	CAR	241	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
475.25	n/a	REC_WORD	237625	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	RACCOON	1153	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
478.776	n/a	REC_WORD	239388	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	DRIVER	499	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
490.944	n/a	REC_WORD	245472	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	1	SLUG	1329	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
495.09	n/a	REC_WORD	247545	wordpools/wasnorm_wordpool.txt	LTP120	ltpFR	17	1	n/a	SNAIL	1332	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
