mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	too_fast
0	SESS_START	n/a	LTP404	VFFR	8	n/a	n/a	n/a	0
26935	FFR_START	n/a	LTP404	VFFR	8	n/a	n/a	n/a	0
31402	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	TUTU	1524	0
33902	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	IGLOO	734	0
36951	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	BALLOON	75	0
39213	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	TOMBSTONE	1478	0
41964	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	BRIDGE	174	0
56511	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	STAR	1373	0
61944	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	SKY	-1	0
62944	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
63944	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
64447	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	CEILING	265	0
67139	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
74161	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	GLUE	643	0
83858	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	FLOWER	584	0
116419	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	RED	-1	0
118601	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
120729	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	NAPKIN	937	0
124202	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	TISSUE	-1	0
127006	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	WATER	1594	0
128121	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	POOL	1103	0
145363	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	GARDEN	623	0
147930	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	MAGNIFICENT	-1	0
148930	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
153685	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	CAR	241	0
154685	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
188302	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	LIGHT	-1	0
191814	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	CEILING	265	0
200792	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	CUP	424	0
205138	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	SUNSHINE	-1	0
206138	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
240948	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	DISK	-1	0
245616	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	DRIVE	-1	0
246616	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
251893	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	SCARLET	-1	0
262807	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	TERMINAL	1450	0
298662	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	USB	-1	0
299662	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
301880	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	OUTLET	-1	0
336382	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	SKYLINE	-1	0
337382	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
353620	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	NAPKIN	937	0
398596	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	SKYLINE	-1	0
405460	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	WATERLINE	-1	0
417346	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	TRUCK	1512	0
478634	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	SKYLINE	-1	0
479634	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
528949	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	BLUE	-1	0
529949	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
538570	FFR_REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	<>	-1	0
608806	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	FINGERNAIL	568	0
611167	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	PAINT	1003	0
614340	FFR_REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP404	VFFR	8	n/a	GRASS	655	0
