mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	n/a	n/a	0	0	0
21051	START	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
21069	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	10	3	1	6
22648	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	19	9	7	3
23898	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	12	6	4	2
24950	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	25	8	8	9
28418	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	22	9	9	4
29788	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	15	6	1	8
33051	STOP	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
59132	DISTRACTOR	n/a	LTP303	ltpFR2	18	1	n/a	n/a	n/a	n/a	0	0	0
59132	START	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
59145	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	13	6	3	4
60462	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	20	9	9	2
61815	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	11	6	1	4
62817	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	13	1	8	4
63932	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	18	6	6	6
65901	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	5	1	1	3
67051	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	8	4	1	3
68219	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	11	1	3	7
69370	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	6	1	2	3
70374	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	13	5	3	5
71538	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	16	8	4	4
72773	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	15	6	5	4
73774	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	8	3	2	3
75174	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	14	5	3	6
76609	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	8	4	1	3
77762	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	13	7	2	4
79262	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	21	4	9	8
80798	PROB	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	15	3	8	4
81995	STOP	n/a	LTP303	ltpFR2	18	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
84202	WORD	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	18	1	PASTA	1021	n/a	n/a	0	0	0
86871	WORD	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	18	1	BINDER	127	n/a	n/a	0	0	0
89657	WORD	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	18	1	CUPBOARD	425	n/a	n/a	0	0	0
92175	WORD	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	18	1	FRAGRANCE	599	n/a	n/a	0	0	0
94812	WORD	wordpools/wasnorm_wordpool_576.txt	LTP303	ltpFR2	18	1	CATCHER	258	n/a	n/a	0	0	0
