mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num
0	SESS_START	n/a	LTP122	ltpFR2	4	n/a	n/a	n/a
58149	DISTRACTOR	n/a	LTP122	ltpFR2	4	1	n/a	n/a
83052	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	EMPIRE	530
85672	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	BLOCKADE	137
88424	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SUITCASE	1403
91227	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	RIFLE	1192
93811	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	PIGEON	1065
96364	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	ROOSTER	1209
98865	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	ATOM	55
101385	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	ASIA	46
103919	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	DAISY	435
106589	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	PRIMATE	1123
109225	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	BROOK	177
111776	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	NEUTRON	947
114496	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	PUPIL	1143
117047	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	THREAD	1460
119684	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SHORTCAKE	1292
122169	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	CITRUS	313
124721	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	TOURIST	1488
127223	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	VENUS	1557
129675	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	FRIEND	606
132394	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SIDEWALK	1303
135079	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	JUGGLER	763
137914	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	FLASK	576
140551	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	BEAKER	104
143253	WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	MAPLE	866
145949	DISTRACTOR	n/a	LTP122	ltpFR2	4	1	n/a	n/a
170693	REC_START	n/a	LTP122	ltpFR2	4	1	n/a	n/a
175758	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	EMPIRE	530
177381	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	ATOM	55
180073	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	VENUS	1557
182801	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	BLOCKADE	137
184619	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	BROOK	177
185688	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SIDEWALK	1303
190786	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SUITCASE	1403
192567	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	RIFLE	1192
193575	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	FLASK	576
194887	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	PIGEON	1065
196122	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	ROOSTER	1209
199502	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	FRIEND	606
201620	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	JUGGLER	763
205083	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SIDEWALK	1303
210080	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	DAISY	435
211559	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	PRIMATE	1123
213864	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP122	ltpFR2	4	1	SHORTCAKE	1292
