mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	n/a	n/a	0	0	0
13260	START	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
13276	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	19	9	4	6
14844	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	15	3	5	7
16194	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	13	4	6	3
17380	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	9	4	1	4
18564	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	25	9	8	8
20998	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	19	9	7	3
22900	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	7	2	1	4
24590	STOP	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
55789	DISTRACTOR	n/a	LTP316	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
55789	START	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
55804	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	8	2	3	3
57261	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	7	1	2	4
58430	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	12	4	2	6
59780	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	18	5	5	8
60981	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	19	9	4	6
62349	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	20	6	8	6
63817	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	16	5	8	3
65135	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	9	6	1	2
66635	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	13	7	3	3
67821	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	11	7	1	3
69372	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	20	9	9	2
70789	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	17	7	5	5
72841	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	21	5	8	8
74809	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	13	7	3	3
76126	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	8	2	4	2
77512	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	14	2	3	9
78848	STOP	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
80726	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	TWIG	1527	n/a	n/a	0	0	0
83217	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	HEDGE	699	n/a	n/a	0	0	0
85998	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	TRACTOR	1493	n/a	n/a	0	0	0
88749	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SEAFOOD	1260	n/a	n/a	0	0	0
91456	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	HOOK	715	n/a	n/a	0	0	0
93887	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SNAIL	1332	n/a	n/a	0	0	0
96427	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	PARROT	1015	n/a	n/a	0	0	0
99143	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	AWARD	63	n/a	n/a	0	0	0
101578	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	MASK	876	n/a	n/a	0	0	0
104330	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	LACE	792	n/a	n/a	0	0	0
107115	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	KIDNEY	776	n/a	n/a	0	0	0
109835	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	CHAUFFEUR	283	n/a	n/a	0	0	0
112538	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	RECEIPT	1173	n/a	n/a	0	0	0
115289	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	MEDAL	885	n/a	n/a	0	0	0
117725	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	GLASS	639	n/a	n/a	0	0	0
120444	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	CATTLE	261	n/a	n/a	0	0	0
123030	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SHERIFF	1284	n/a	n/a	0	0	0
125699	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	BUREAU	199	n/a	n/a	0	0	0
128235	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	COD	340	n/a	n/a	0	0	0
131055	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	CLOCK	325	n/a	n/a	0	0	0
133638	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	MOTOR	922	n/a	n/a	0	0	0
136292	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	FOREHEAD	592	n/a	n/a	0	0	0
138877	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	JUGGLER	763	n/a	n/a	0	0	0
141662	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	RELISH	1183	n/a	n/a	0	0	0
143281	START	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
144470	DISTRACTOR	n/a	LTP316	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
144481	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	14	1	4	9
145949	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	7	2	1	4
147151	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	19	8	7	4
148419	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	16	3	6	7
150153	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	12	2	4	6
151354	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	13	5	6	2
152737	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	20	7	4	9
154041	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	11	2	7	2
155690	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	11	1	8	2
157060	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	15	7	2	6
159293	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	14	3	4	7
160677	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	16	7	5	4
162312	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	18	4	6	8
163530	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	23	7	7	9
165149	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	16	4	9	3
166524	STOP	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
169086	REC_START	n/a	LTP316	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
169622	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	FOREHEAD	592	n/a	n/a	0	0	0
170587	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	JUGGLER	763	n/a	n/a	0	0	0
171769	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	RELISH	1183	n/a	n/a	0	0	0
173072	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	TWIG	1527	n/a	n/a	0	0	0
174814	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SHRUB	1299	n/a	n/a	0	0	0
176017	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	TRACTOR	1493	n/a	n/a	0	0	0
177017	REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	<>	-1	n/a	n/a	0	0	0
177242	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SEAFOOD	1260	n/a	n/a	0	0	0
178242	REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	<>	-1	n/a	n/a	0	0	0
178594	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	HOOK	715	n/a	n/a	0	0	0
179740	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	COD	340	n/a	n/a	0	0	0
184321	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SNAIL	1332	n/a	n/a	0	0	0
185321	REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	<>	-1	n/a	n/a	0	0	0
185723	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	PARROT	1015	n/a	n/a	0	0	0
187005	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	LACE	792	n/a	n/a	0	0	0
188223	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	RECEIPT	1173	n/a	n/a	0	0	0
189223	REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	<>	-1	n/a	n/a	0	0	0
189794	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	GLASS	639	n/a	n/a	0	0	0
220031	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	SHERIFF	1284	n/a	n/a	0	0	0
221622	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	1	BUREAU	199	n/a	n/a	0	0	0
259524	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	COLLEGE	346	n/a	n/a	0	0	0
262226	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	CRICKET	408	n/a	n/a	0	0	0
264819	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	LONDON	843	n/a	n/a	0	0	0
267355	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	LEADER	807	n/a	n/a	0	0	0
269841	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	SEAL	1262	n/a	n/a	0	0	0
272651	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	LILY	821	n/a	n/a	0	0	0
275237	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	BRICK	172	n/a	n/a	0	0	0
277689	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	JELLY	755	n/a	n/a	0	0	0
280325	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	BARREL	91	n/a	n/a	0	0	0
283054	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	BULLET	194	n/a	n/a	0	0	0
285778	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	PATROL	1027	n/a	n/a	0	0	0
288264	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	HATCHET	691	n/a	n/a	0	0	0
290692	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	SWORD	1423	n/a	n/a	0	0	0
293395	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	ICING	732	n/a	n/a	0	0	0
296054	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	SIBLING	1301	n/a	n/a	0	0	0
298656	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	TRANSPLANT	1496	n/a	n/a	0	0	0
301401	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	HEART	697	n/a	n/a	0	0	0
303987	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	SPIDER	1351	n/a	n/a	0	0	0
306662	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	BRACES	164	n/a	n/a	0	0	0
309281	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	CHILD	299	n/a	n/a	0	0	0
311733	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	UMPIRE	1535	n/a	n/a	0	0	0
314536	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	OX	994	n/a	n/a	0	0	0
317215	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	TROMBONE	1508	n/a	n/a	0	0	0
319951	WORD	wordpools/wasnorm_wordpool_576.txt	LTP316	ltpFR2	22	2	PIANO	1057	n/a	n/a	0	0	0
321558	START	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a
322416	DISTRACTOR	n/a	LTP316	ltpFR2	22	2	n/a	n/a	n/a	n/a	0	0	0
322420	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	3	17	3	5	9
324460	PROB	n/a	LTP316	ltpFR2	22	n/a	n/a	n/a	3	15	8	1	6
