mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP273	ltpFR	3	n/a	n/a	n/a	n/a	1	4	n/a	n/a	n/a	n/a	n/a	n/a
105008	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	CONCRETE	361	1	n/a	1	0.422607421875	0.5869140625	0	upper	zerothre.ttf
109119	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	SWING	1421	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	zerothre.ttf
112947	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	KEY	773	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	zerothre.ttf
116991	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	GRILL	661	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	zerothre.ttf
120901	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	HEN	703	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	zerothre.ttf
124845	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	TRIBE	1505	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	amplitud.ttf
129023	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	CONTRACT	368	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	amplitud.ttf
133033	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	FIG	563	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	amplitud.ttf
136961	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	SEED	1266	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	amplitud.ttf
141088	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	GRADUATE	653	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	zerothre.ttf
145298	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	CELLAR	267	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	zerothre.ttf
149209	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	0	TROUT	1511	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	zerothre.ttf
153103	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	SHARK	1275	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	amplitud.ttf
157197	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	STONE	1385	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	amplitud.ttf
161225	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	TREE	1502	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	amplitud.ttf
165185	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP273	ltpFR	3	1	1	PHILOSOPHER	1054	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	amplitud.ttf
171077	REC_START	n/a	LTP273	ltpFR	3	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
