mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	n/a	n/a	0	0	0
16080	START	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
16094	PROB	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	18	7	6	5
18098	PROB	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	15	8	2	5
20433	PROB	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	17	7	8	2
22116	PROB	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	14	1	9	4
23917	PROB	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	22	9	4	9
25705	PROB	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	19	9	5	5
27214	STOP	n/a	LTP302	ltpFR2	6	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
72139	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	MARKER	870	n/a	n/a	0	0	0
74877	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	DRIVER	499	n/a	n/a	0	0	0
77630	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	ROCKET	1202	n/a	n/a	0	0	0
80382	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	CRATER	400	n/a	n/a	0	0	0
82922	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	SCISSORS	1250	n/a	n/a	0	0	0
85402	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	SLIDE	1326	n/a	n/a	0	0	0
88144	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	CANYON	235	n/a	n/a	0	0	0
90780	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	DIME	466	n/a	n/a	0	0	0
93508	WORD	wordpools/wasnorm_wordpool_576.txt	LTP302	ltpFR2	6	1	LADY	794	n/a	n/a	0	0	0
