onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
341.23	n/a	SESS_START	170615	n/a	LTP199	ltpFR	4	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
409.744	n/a	WORD	204872	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	ELBOW	520	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
413.962	n/a	WORD	206981	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	ATTORNEY	58	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
417.892	n/a	WORD	208946	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	DESIGNER	451	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
422.044	n/a	WORD	211022	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	ACORN	3	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
426.098	n/a	WORD	213049	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	ELM	527	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
430.122	n/a	WORD	215061	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	SENATE	1267	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
434.038	n/a	WORD	217019	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	FURNITURE	616	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
437.952	n/a	WORD	218976	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	AUDIENCE	59	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
442.102	n/a	WORD	221051	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	PERSONNEL	1053	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
446.084	n/a	WORD	223042	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	EMPLOYER	532	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
450.282	n/a	WORD	225141	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	WRIST	1626	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
454.5	n/a	WORD	227250	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	BUREAU	199	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
458.448	n/a	WORD	229224	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	NICKEL	950	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
462.564	n/a	WORD	231282	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	MILK	895	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
466.412	n/a	WORD	233206	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	FLESH	579	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
470.428	n/a	WORD	235214	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	MAGICIAN	854	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
476.368	n/a	REC_START	238184	n/a	LTP199	ltpFR	4	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
477.728	n/a	REC_WORD	238864	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	FLESH	579	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
478.742	n/a	REC_WORD	239371	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	MAGICIAN	854	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
479.742	n/a	REC_WORD	239871	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	1	ATTORNEY	58	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
481.47	n/a	REC_WORD	240735	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	WRIST	1626	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
482.608	n/a	REC_WORD	241304	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP199	ltpFR	4	1	0	ELM	527	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
