mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP257	ltpFR	2	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
132729	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	CROSS	413	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
136648	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	SHEPHERD	1283	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
140530	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	PERMIT	1051	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
144478	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	DIAPER	459	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
148394	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	RATTLE	1170	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
152621	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	IDOL	733	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
156640	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	DOVE	491	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
160605	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	PRAIRIE	1118	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
164687	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	COMET	353	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
168732	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	PARROT	1015	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
172897	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	WEED	1599	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
176950	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	SINK	1309	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
180865	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	SHOP	1290	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
185031	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	LIST	830	n/a	n/a	n/a	0.422607421875	0.5869140625	0	upper	amplitud.ttf
188077	SLOW_MSG	n/a	LTP257	ltpFR	2	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
190802	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	SQUID	1361	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
194818	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	CRAB	397	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
200741	REC_START	n/a	LTP257	ltpFR	2	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
202911	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	COMET	353	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
204437	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	SQUID	1361	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
206362	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	1	CRAB	397	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
211334	REC_WORD_VV	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
212353	REC_WORD_VV	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
214752	REC_WORD_VV	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
222942	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP257	ltpFR	2	1	0	CROSS	413	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
