mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
490009	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	5	14	3	5	6
491009	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	5	16	6	8	2
492728	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	5	19	7	8	4
494922	STOP	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	5	n/a	n/a	n/a	n/a
496532	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	FREEZER	604	n/a	n/a	0	0	0
498983	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	SCARF	1246	n/a	n/a	0	0	0
501525	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	WORKER	1621	n/a	n/a	0	0	0
504088	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RIFLE	1192	n/a	n/a	0	0	0
506689	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	HOOK	715	n/a	n/a	0	0	0
509209	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	PERCH	1048	n/a	n/a	0	0	0
512010	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	LION	827	n/a	n/a	0	0	0
514679	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	JELLY	755	n/a	n/a	0	0	0
517450	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	HERO	706	n/a	n/a	0	0	0
519975	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	OMELET	976	n/a	n/a	0	0	0
522419	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	LEOPARD	812	n/a	n/a	0	0	0
525222	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	CRATER	400	n/a	n/a	0	0	0
527732	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	OUTFIT	988	n/a	n/a	0	0	0
530502	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	CLOTHES	327	n/a	n/a	0	0	0
533170	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	POET	1095	n/a	n/a	0	0	0
535746	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RATTLE	1170	n/a	n/a	0	0	0
538399	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	BUTCHER	203	n/a	n/a	0	0	0
541160	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RAZOR	1171	n/a	n/a	0	0	0
543811	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	PORK	1108	n/a	n/a	0	0	0
546565	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	SURVEY	1414	n/a	n/a	0	0	0
549285	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	HEDGE	699	n/a	n/a	0	0	0
552043	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	GLOVE	642	n/a	n/a	0	0	0
554472	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	BABY	64	n/a	n/a	0	0	0
557265	WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	DRUG	501	n/a	n/a	0	0	0
558877	START	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	n/a	n/a	n/a	n/a
559846	DISTRACTOR	n/a	LTP326	ltpFR2	14	3	n/a	n/a	n/a	n/a	0	0	0
559859	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	5	1	2	2
561233	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	10	1	2	7
563119	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	7	1	4	2
565587	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	15	3	4	8
567287	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	12	2	1	9
568405	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	18	6	5	7
570006	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	7	1	3	3
571774	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	20	6	9	5
574528	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	14	8	3	3
575844	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	9	2	6	1
577379	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	20	8	6	6
580367	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	15	4	5	6
581822	STOP	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	6	n/a	n/a	n/a	n/a
584803	REC_START	n/a	LTP326	ltpFR2	14	3	n/a	n/a	n/a	n/a	0	0	0
590977	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	WORKER	1621	n/a	n/a	0	0	0
592280	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RIFLE	1192	n/a	n/a	0	0	0
593566	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	FREEZER	604	n/a	n/a	0	0	0
595207	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	SCARF	1246	n/a	n/a	0	0	0
597451	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	OUTFIT	988	n/a	n/a	0	0	0
598641	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	CLOTHES	327	n/a	n/a	0	0	0
600065	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	GLOVE	642	n/a	n/a	0	0	0
604956	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RIFLE	1192	n/a	n/a	0	0	0
606811	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	LION	827	n/a	n/a	0	0	0
611013	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	LEOPARD	812	n/a	n/a	0	0	0
612468	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	PANTHER	1009	n/a	n/a	0	0	0
614466	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RATTLE	1170	n/a	n/a	0	0	0
616296	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	PORK	1108	n/a	n/a	0	0	0
618203	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	BUTCHER	203	n/a	n/a	0	0	0
619628	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	RAZOR	1171	n/a	n/a	0	0	0
644591	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP326	ltpFR2	14	3	HEDGE	699	n/a	n/a	0	0	0
675245	DISTRACTOR	n/a	LTP326	ltpFR2	14	4	n/a	n/a	n/a	n/a	0	0	0
675245	START	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	n/a	n/a	n/a	n/a
675257	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	16	5	5	6
676592	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	17	4	4	9
678544	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	16	8	5	3
680128	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	18	4	7	7
683548	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	18	7	6	5
685585	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	16	2	9	5
687251	PROB	n/a	LTP326	ltpFR2	14	n/a	n/a	n/a	7	13	5	3	5
