mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
0	SESS_START	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	n/a	n/a	0	0	0
12698	START	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
12728	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	15	2	7	6
14844	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	8	2	9	7
16527	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	19	3	9	7
18343	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	10	1	2	7
19525	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	12	8	2	2
20575	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	21	9	7	6
22457	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	16	1	8	7
24198	STOP	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
54493	DISTRACTOR	n/a	LTP357	ltpFR2	12	1	n/a	n/a	n/a	n/a	0	0	0
54493	START	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
54509	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	22	9	8	5
56409	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	10	1	3	6
57625	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	11	3	2	6
58724	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	16	4	8	4
60289	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	8	1	3	4
61423	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	20	9	3	8
62921	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	15	6	8	1
64755	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	19	1	9	9
66037	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	16	6	2	8
67470	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	9	6	2	1
68853	PROB	n/a	LTP357	ltpFR2	12	n/a	n/a	n/a	1	22	5	9	8
