mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP269	ltpFR	0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92776	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	HOUSE	725	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
96896	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	CREEK	404	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
100861	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	MAJOR	859	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
104738	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	VIOLIN	1571	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
108803	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	RADIO	1157	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
112740	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	AIRPLANE	12	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
116605	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	STEWARDESS	1381	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
120537	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	GAVEL	627	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
124668	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	UNIFORM	1539	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
128545	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	ARTERY	41	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
132410	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	LINT	826	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
136513	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	TUB	1514	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
140707	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	TREE	1502	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
144872	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	CLOTHES	327	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
148988	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	MARINE	869	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
153037	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	PIPE	1073	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
158876	REC_START	n/a	LTP269	ltpFR	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
159785	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	PIPE	1073	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
160972	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	MARINE	869	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
162200	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	MAJOR	859	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
163208	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	HOUSE	725	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
164348	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	CREEK	404	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
165949	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	TREE	1502	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
168604	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	AIRPLANE	12	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
169475	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	STEWARDESS	1381	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
170490	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	VIOLIN	1571	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
171558	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	RADIO	1157	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
176127	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	TUB	1514	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
181958	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	LINT	826	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
184698	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	UNIFORM	1539	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
187380	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	1	-1	GAVEL	627	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
244899	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	DIARY	460	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
249066	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	COAL	332	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
252951	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	CLARINET	317	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
257079	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	GUITAR	670	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
261178	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	GRAPE	654	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
265110	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	ROCKET	1202	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
269264	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	WHIP	1604	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
273296	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	VINE	1568	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
277227	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	WEED	1599	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
281404	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	POCKETBOOK	1094	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
285241	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	SAILOR	1223	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
289306	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	CAB	209	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
293238	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	BISCUIT	130	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
297298	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	RACKET	1155	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
301284	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	JUGGLER	763	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
305166	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	HEDGE	699	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
311051	REC_START	n/a	LTP269	ltpFR	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
311557	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	HEDGE	699	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
312749	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	VINE	1568	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
313886	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	WEED	1599	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
314981	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	WHIP	1604	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
316920	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	GUITAR	670	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
318220	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	CLARINET	317	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
321115	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	COAL	332	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
322212	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	DIARY	460	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
329692	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	SAILOR	1223	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
332969	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	JUGGLER	763	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
334544	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	HEDGE	699	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
342991	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	BISCUIT	130	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
346482	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	GRAPE	654	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
350729	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	ROCKET	1202	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
351682	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	POCKETBOOK	1094	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
354460	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	2	-1	RACKET	1155	n/a	n/a	-1	n/a	n/a	n/a	n/a	n/a
393159	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	SENATOR	1268	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
397330	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	CAPITAL	238	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
401161	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	JAW	751	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
405126	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	APPENDAGE	32	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
409019	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	TELEPHONE	1445	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
413118	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	BILL	126	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
417238	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	GUM	672	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
421421	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	BASSINET	97	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
425252	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	LAPEL	800	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
429111	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP269	ltpFR	0	3	-1	JACKET	747	n/a	n/a	-1	1.0	1.0	1	upper	Verdana.ttf
