onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
308.392	n/a	SESS_START	154196	n/a	LTP164	ltpFR	1	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a
610.082	n/a	WORD	305041	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	TOAD	1470	3	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
614.098	n/a	WORD	307049	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	TOURIST	1488	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
618.114	n/a	WORD	309057	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	BASKET	95	n/a	n/a	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
621.138	n/a	SLOW_MSG	310569	n/a	LTP164	ltpFR	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
623.536	n/a	WORD	311768	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	PRUNE	1134	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
627.712	n/a	WORD	313856	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	FRIAR	605	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
631.91	n/a	WORD	315955	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	POPE	1105	n/a	n/a	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
634.934	n/a	SLOW_MSG	317467	n/a	LTP164	ltpFR	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
637.3	n/a	WORD	318650	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	MARROW	872	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
641.482	n/a	WORD	320741	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	ICEBERG	731	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
645.522	n/a	WORD	322761	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	BLANKET	135	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
649.512	n/a	WORD	324756	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	COLLAR	345	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
653.436	n/a	WORD	326718	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	REGISTER	1180	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
657.586	n/a	WORD	328793	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	CASH	252	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
661.476	n/a	WORD	330738	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	BONE	148	n/a	n/a	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
664.5	n/a	SLOW_MSG	332250	n/a	LTP164	ltpFR	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
666.958	n/a	WORD	333479	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	CATCHER	258	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
670.84	n/a	WORD	335420	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	PAWN	1030	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
674.814	n/a	WORD	337407	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	GUARD	667	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
680.628	n/a	REC_START	340314	n/a	LTP164	ltpFR	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
681.93	n/a	REC_WORD	340965	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	PAWN	1030	n/a	1	n/a	n/a	n/a	n/a	n/a
683.002	n/a	REC_WORD	341501	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	GUARD	667	n/a	1	n/a	n/a	n/a	n/a	n/a
684.02	n/a	REC_WORD	342010	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	0	CATCHER	258	n/a	0	n/a	n/a	n/a	n/a	n/a
703.736	n/a	REC_WORD	351868	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	TOAD	1470	n/a	0	n/a	n/a	n/a	n/a	n/a
730.042	n/a	REC_WORD_VV	365021	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
731.042	n/a	REC_WORD_VV	365521	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a
752.25	n/a	REC_WORD	376125	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	1	1	POPE	1105	n/a	n/a	n/a	n/a	n/a	n/a	n/a
761.654	n/a	WORD	380827	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP164	ltpFR	1	2	0	SEA	1259	n/a	n/a	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
