mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
0	SESS_START	n/a	LTP216	ltpFR	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
262207	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	ATHLETE	52	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
266065	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	QUILL	1150	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
269937	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	MUSTARD	935	n/a	n/a	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
272982	SLOW_MSG	n/a	LTP216	ltpFR	3	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
275392	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	CHEF	290	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
279232	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	MARKER	870	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
283372	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	RULER	1216	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
287520	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	SAUCER	1237	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
291485	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	SPY	1360	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
295693	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	COP	376	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
299742	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	CABLE	213	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
303824	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	PIG	1064	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
307729	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	DINNER	468	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
311603	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	CAN	225	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
315551	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	0	SOFTBALL	1343	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/zerothre.ttf
319590	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	AGENT	10	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
323422	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	DETECTIVE	454	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/amplitud.ttf
329144	REC_START	n/a	LTP216	ltpFR	3	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
330338	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	DETECTIVE	454	n/a	1	n/a	n/a	n/a	n/a	n/a
331563	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	PIG	1064	n/a	1	n/a	n/a	n/a	n/a	n/a
333230	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP216	ltpFR	3	1	1	DINNER	468	n/a	0	n/a	n/a	n/a	n/a	n/a
