onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
242.504	n/a	SESS_START	121252	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	n/a	n/a	0	0	0
251.352	n/a	START	125676	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
251.368	n/a	PROB	125684	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	16	8	4	6
253.822	n/a	PROB	126911	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	8	2	1	5
255.02	n/a	PROB	127510	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	13	8	2	3
256.004	n/a	PROB	128002	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	15	5	9	1
256.874	n/a	PROB	128437	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	16	8	1	7
257.958	n/a	PROB	128979	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	18	3	6	9
259.14	n/a	PROB	129570	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	19	9	9	1
260.258	n/a	PROB	130129	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	16	5	2	9
261.828	n/a	PROB	130914	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	11	5	4	2
262.728	n/a	STOP	131364	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	-1	n/a	n/a	n/a	n/a
281.878	n/a	DISTRACTOR	140939	n/a	LTP280	ltpFR2	21	1	n/a	n/a	n/a	n/a	0	0	0
281.878	n/a	START	140939	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
281.892	n/a	PROB	140946	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	13	7	3	3
283.044	n/a	PROB	141522	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	13	7	1	5
284.528	n/a	PROB	142264	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	18	5	5	8
285.512	n/a	PROB	142756	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	17	4	4	9
286.948	n/a	PROB	143474	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	17	6	7	5
288.532	n/a	PROB	144266	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	10	1	3	6
289.7	n/a	PROB	144850	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	7	1	4	2
290.75	n/a	PROB	145375	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	21	6	7	7
291.968	n/a	PROB	145984	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	5	1	3	1
292.868	n/a	PROB	146434	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	18	9	1	8
293.984	n/a	PROB	146992	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	11	1	6	4
294.768	n/a	PROB	147384	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	20	6	9	5
296.07	n/a	PROB	148035	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	14	6	4	4
297.37	n/a	PROB	148685	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	21	7	5	9
298.538	n/a	PROB	149269	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	6	1	2	3
299.372	n/a	PROB	149686	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	8	1	4	3
300.488	n/a	PROB	150244	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	13	4	5	4
302.04	n/a	PROB	151020	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	23	9	6	8
304.456	n/a	STOP	152228	n/a	LTP280	ltpFR2	21	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
306.762	n/a	WORD	153381	wordpools/wasnorm_wordpool_576.txt	LTP280	ltpFR2	21	1	SWITCH	1422	n/a	n/a	0	0	0
309.576	n/a	WORD	154788	wordpools/wasnorm_wordpool_576.txt	LTP280	ltpFR2	21	1	UNCLE	1536	n/a	n/a	0	0	0
