onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
242.738	n/a	SESS_START	121369	n/a	LTP122	ltpFR	5	n/a	n/a	n/a	n/a	1	3	n/a	n/a	n/a	n/a	n/a	n/a
286.758	n/a	WORD	143379	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	PROTRACTOR	1133	1	3	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
290.774	n/a	WORD	145387	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	NITROGEN	954	0	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
294.63	n/a	WORD	147315	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	MICROSCOPE	891	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
298.488	n/a	WORD	149244	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	COOLER	375	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
302.486	n/a	WORD	151243	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	LEOPARD	812	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
306.468	n/a	WORD	153234	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	STRANGER	1389	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
310.676	n/a	WORD	155338	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	BUYER	208	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
314.666	n/a	WORD	157333	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	GAUZE	626	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
318.648	n/a	WORD	159324	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	SCALPEL	1243	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
322.58	n/a	WORD	161290	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	GROUND	666	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
326.462	n/a	WORD	163231	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	DIRT	472	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
330.312	n/a	WORD	165156	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	BEVERAGE	123	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
334.194	n/a	WORD	167097	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	SCHOOL	1248	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
338.168	n/a	WORD	169084	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	0	HIKER	708	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
342.058	n/a	WORD	171029	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	RODENT	1204	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
346.04	n/a	WORD	173020	wordpools/wasnorm_wordpool.txt	LTP122	ltpFR	5	1	1	ENEMY	534	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
351.832	n/a	REC_START	175916	n/a	LTP122	ltpFR	5	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
