onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
224.192	n/a	SESS_START	112096	n/a	LTP197	ltpFR	4	n/a	n/a	n/a	n/a	0	3	n/a	n/a	n/a	n/a	n/a	n/a
258.348	n/a	WORD	129174	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	THUMB	1462	0	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
262.534	n/a	WORD	131267	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	HIKER	708	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
266.612	n/a	WORD	133306	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	JUGGLER	763	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
270.498	n/a	WORD	135249	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	FARMER	553	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
274.476	n/a	WORD	137238	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	COW	393	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
278.424	n/a	WORD	139212	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	REFEREE	1178	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
282.256	n/a	WORD	141128	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	PORCUPINE	1107	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
286.156	n/a	WORD	143078	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	WILDERNESS	1610	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
290.336	n/a	WORD	145168	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	CHEERLEADER	288	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
294.418	n/a	WORD	147209	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	GLOBE	641	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
298.586	n/a	WORD	149293	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	LANDSCAPE	799	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
302.604	n/a	WORD	151302	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	PICKLE	1059	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
306.666	n/a	WORD	153333	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	UNIVERSE	1540	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
310.564	n/a	WORD	155282	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	TEAPOT	1442	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
314.714	n/a	WORD	157357	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	CUP	424	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
318.762	n/a	WORD	159381	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	CHECK	284	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
324.67	n/a	REC_START	162335	n/a	LTP197	ltpFR	4	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
326.25	n/a	REC_WORD	163125	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	CHECK	284	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
327.218	n/a	REC_WORD	163609	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	TEAPOT	1442	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
328.426	n/a	REC_WORD	164213	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	CUP	424	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
329.584	n/a	REC_WORD	164792	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	UNIVERSE	1540	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
330.584	n/a	REC_WORD_VV	165292	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
332.292	n/a	REC_WORD	166146	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	LANDSCAPE	799	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
333.55	n/a	REC_WORD	166775	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	WILDERNESS	1610	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
334.55	n/a	REC_WORD_VV	167275	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
337.72	n/a	REC_WORD	168860	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	FARMER	553	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
338.804	n/a	REC_WORD	169402	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	COW	393	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
343.382	n/a	REC_WORD	171691	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	1	PORCUPINE	1107	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
349.354	n/a	REC_WORD	174677	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	JUGGLER	763	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
350.606	n/a	REC_WORD	175303	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	THUMB	1462	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
351.564	n/a	REC_WORD	175782	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	HIKER	708	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
353.166	n/a	REC_WORD	176583	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	1	0	CHEERLEADER	288	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
404.544	n/a	WORD	202272	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	MEADOW	881	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
408.538	n/a	WORD	204269	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	YARD	1630	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
412.454	n/a	WORD	206227	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	BUTTERFLY	206	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
416.538	n/a	WORD	208269	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	BARRACUDA	90	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
420.634	n/a	WORD	210317	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	GRADUATE	653	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
424.55	n/a	WORD	212275	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	COUGAR	387	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
428.5	n/a	WORD	214250	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	WINGS	1614	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
432.396	n/a	WORD	216198	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	PEPPER	1047	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
436.232	n/a	WORD	218116	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	PAINTER	1004	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
440.128	n/a	WORD	220064	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	BANDANNA	80	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
444.258	n/a	WORD	222129	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	NUCLEUS	961	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
448.156	n/a	WORD	224078	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	NEUTRON	947	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
452.072	n/a	WORD	226036	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	INSTRUCTOR	741	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
455.902	n/a	WORD	227951	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	CLAW	319	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
459.852	n/a	WORD	229926	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	TECHNICIAN	1443	n/a	n/a	1	0.422607421875	0.5869140625	0	upper	amplitud.ttf
463.8	n/a	WORD	231900	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	PORPOISE	1109	n/a	n/a	0	0.422607421875	0.5869140625	0	upper	amplitud.ttf
469.706	n/a	REC_START	234853	n/a	LTP197	ltpFR	4	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
470.864	n/a	REC_WORD	235432	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	PORPOISE	1109	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
471.792	n/a	REC_WORD	235896	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	TECHNICIAN	1443	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
474.326	n/a	REC_WORD	237163	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	INSTRUCTOR	741	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
475.326	n/a	REC_WORD_VV	237663	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
476.292	n/a	REC_WORD	238146	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	YARD	1630	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
477.368	n/a	REC_WORD	238684	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	MEADOW	881	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
480.252	n/a	REC_WORD	240126	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	BUTTERFLY	206	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
481.236	n/a	REC_WORD	240618	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	WINGS	1614	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
482.342	n/a	REC_WORD	241171	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	COUGAR	387	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
483.494	n/a	REC_WORD	241747	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	BARRACUDA	90	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
485.84	n/a	REC_WORD	242920	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	0	GRADUATE	653	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
488.256	n/a	REC_WORD	244128	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	2	1	PAINTER	1004	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
549.378	n/a	WORD	274689	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CITIZEN	312	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
553.56	n/a	WORD	276780	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	BEAN	105	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
557.476	n/a	WORD	278738	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	PLANT	1083	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
561.306	n/a	WORD	280653	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	UNICORN	1538	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
565.258	n/a	WORD	282629	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CRAB	397	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
569.152	n/a	WORD	284576	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	RIB	1188	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
573.2	n/a	WORD	286600	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CITRUS	313	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
577.384	n/a	WORD	288692	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	RASPBERRY	1168	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
581.316	n/a	WORD	290658	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	ZEBRA	1635	n/a	n/a	1	0.57763671875	0.412841796875	1	lower	zerothre.ttf
585.498	n/a	WORD	292749	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	GLUE	643	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
589.364	n/a	WORD	294682	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	REFRIGERATOR	1179	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
593.512	n/a	WORD	296756	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	LUMBER	848	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
597.694	n/a	WORD	298847	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	BRANCH	168	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
601.728	n/a	WORD	300864	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CAR	241	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
605.626	n/a	WORD	302813	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	STICKER	1382	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
609.606	n/a	WORD	304803	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	FIELD	562	n/a	n/a	0	0.57763671875	0.412841796875	1	lower	zerothre.ttf
615.48	n/a	REC_START	307740	n/a	LTP197	ltpFR	4	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
617.28	n/a	REC_WORD	308640	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	FIELD	562	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
618.28	n/a	REC_WORD_VV	309140	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
619.296	n/a	REC_WORD	309648	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	LUMBER	848	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
620.296	n/a	REC_WORD_VV	310148	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
622.658	n/a	REC_WORD	311329	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	BRANCH	168	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
623.932	n/a	REC_WORD	311966	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	RASPBERRY	1168	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
625.382	n/a	REC_WORD	312691	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CITRUS	313	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
626.382	n/a	REC_WORD_VV	313191	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	n/a	<>	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
627.818	n/a	REC_WORD	313909	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CAR	241	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
628.784	n/a	REC_WORD	314392	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	UNICORN	1538	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
630.382	n/a	REC_WORD	315191	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	CITIZEN	312	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
631.748	n/a	REC_WORD	315874	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	BEAN	105	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
632.682	n/a	REC_WORD	316341	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP197	ltpFR	4	3	1	PLANT	1083	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
