mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
0	SESS_START	n/a	LTP142	ltpFR	3	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a
66810	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	MINK	897	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
70641	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	CAP	236	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
74532	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	0	CHAUFFEUR	283	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
78564	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	0	BANANA	77	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
82521	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	0	CLARINET	317	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
86419	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	0	PIANO	1057	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
90584	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	MAILMAN	858	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
94566	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	COBBLER	335	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
98465	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	PATIENT	1024	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
102530	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	BUTTER	205	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
106354	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	SPIDER	1351	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
110452	WORD	wordpools/wasnorm_wordpool.txt	LTP142	ltpFR	3	1	1	ICING	732	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
