onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	item_name	item_num	too_fast
9.693359375	n/a	SESS_START	19852	n/a	LTP412	VFFR	2	n/a	n/a	n/a	0
42.15625	n/a	PRACTICE_WORD	86336	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	0	RHINO	-1	0
43.4072265625	n/a	PRACTICE_WORD_OFF	88898	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	0	RHINO	-1	0
43.4072265625	n/a	PRACTICE_REC_START	88898	n/a	LTP412	VFFR	2	0	RHINO	-1	0
44.873046875	n/a	PRACTICE_REC_WORD	91900	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	0	RHINO	n/a	0
46.4072265625	n/a	PRACTICE_REC_STOP	95042	n/a	LTP412	VFFR	2	0	RHINO	-1	0
48.373046875	n/a	PRACTICE_WORD	99068	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	1	BEAM	-1	0
49.6728515625	n/a	PRACTICE_WORD_OFF	101730	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	1	BEAM	-1	0
49.6728515625	n/a	PRACTICE_REC_START	101730	n/a	LTP412	VFFR	2	1	BEAM	-1	0
51.0458984375	n/a	PRACTICE_REC_WORD	104542	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	1	BEAM	n/a	0
52.6728515625	n/a	PRACTICE_REC_STOP	107874	n/a	LTP412	VFFR	2	1	BEAM	-1	0
54.705078125	n/a	PRACTICE_WORD	112036	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	2	DOG	480	0
55.93994140625	n/a	PRACTICE_WORD_OFF	114565	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	2	DOG	480	0
55.93994140625	n/a	PRACTICE_REC_START	114565	n/a	LTP412	VFFR	2	2	DOG	480	0
57.720703125	n/a	PRACTICE_REC_WORD	118212	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	2	DOG	n/a	0
58.955078125	n/a	PRACTICE_REC_STOP	120740	n/a	LTP412	VFFR	2	2	DOG	480	0
60.93896484375	n/a	PRACTICE_WORD	124803	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	3	ICON	-1	0
62.255859375	n/a	PRACTICE_WORD_OFF	127500	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	3	ICON	-1	0
62.255859375	n/a	PRACTICE_REC_START	127500	n/a	LTP412	VFFR	2	3	ICON	-1	0
63.70654296875	n/a	PRACTICE_REC_WORD	130471	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	3	ICON	n/a	0
65.255859375	n/a	PRACTICE_REC_STOP	133644	n/a	LTP412	VFFR	2	3	ICON	-1	0
67.15576171875	n/a	PRACTICE_WORD	137535	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	4	FLOOD	-1	0
68.60546875	n/a	PRACTICE_REC_START	140504	n/a	LTP412	VFFR	2	4	FLOOD	-1	0
68.60546875	n/a	PRACTICE_WORD_OFF	140504	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	4	FLOOD	-1	0
69.982421875	n/a	PRACTICE_REC_WORD	143324	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	4	FLOOD	n/a	0
71.60546875	n/a	PRACTICE_REC_STOP	146648	n/a	LTP412	VFFR	2	4	FLOOD	-1	0
73.5712890625	n/a	PRACTICE_WORD	150674	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	5	MIRROR	899	0
75.0712890625	n/a	PRACTICE_WORD_OFF	153746	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	5	MIRROR	899	0
75.0712890625	n/a	PRACTICE_REC_START	153746	n/a	LTP412	VFFR	2	5	MIRROR	899	0
76.4931640625	n/a	PRACTICE_REC_WORD	156658	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	5	MIRROR	n/a	0
78.0712890625	n/a	PRACTICE_REC_STOP	159890	n/a	LTP412	VFFR	2	5	MIRROR	899	0
79.97021484375	n/a	PRACTICE_WORD	163779	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	6	COTTON	385	0
81.3203125	n/a	PRACTICE_REC_START	166544	n/a	LTP412	VFFR	2	6	COTTON	385	0
81.3203125	n/a	PRACTICE_WORD_OFF	166544	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	6	COTTON	385	0
82.6103515625	n/a	PRACTICE_REC_WORD	169186	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	6	COTTON	n/a	0
84.3212890625	n/a	PRACTICE_REC_STOP	172690	n/a	LTP412	VFFR	2	6	COTTON	385	0
86.404296875	n/a	PRACTICE_WORD	176956	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	7	IMAGE	-1	0
88.1201171875	n/a	PRACTICE_WORD_OFF	180470	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	7	IMAGE	-1	0
88.1201171875	n/a	PRACTICE_REC_START	180470	n/a	LTP412	VFFR	2	7	IMAGE	-1	0
89.4482421875	n/a	PRACTICE_REC_WORD	183190	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	7	IMAGE	n/a	0
91.1357421875	n/a	PRACTICE_REC_STOP	186646	n/a	LTP412	VFFR	2	7	IMAGE	-1	0
92.9189453125	n/a	PRACTICE_WORD	190298	wordpools/wasnorm_wordpool_576.txt	LTP412	VFFR	2	8	RING	1193	0
