onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
228.32	n/a	SESS_START	114160	n/a	LTP191	ltpFR	15	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a	n/a	n/a
308.662	n/a	WORD	154331	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	OBOE	969	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
312.856	n/a	WORD	156428	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	DOG	480	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
316.9	n/a	WORD	158450	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	TELEVISION	1447	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
320.926	n/a	WORD	160463	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	DAUGHTER	442	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
324.97	n/a	WORD	162485	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	ANIMAL	23	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
329.132	n/a	WORD	164566	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	CREATURE	403	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
333.108	n/a	WORD	166554	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	VIOLA	1570	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
337.12	n/a	WORD	168560	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	RACCOON	1153	n/a	1	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
341.264	n/a	WORD	170632	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	CHIPMUNK	304	n/a	0	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
345.44	n/a	WORD	172720	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	TUXEDO	1525	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
349.334	n/a	WORD	174667	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	PANTS	1010	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
353.53	n/a	WORD	176765	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	SHORTS	1293	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
357.422	n/a	WORD	178711	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	HUT	729	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
361.384	n/a	WORD	180692	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	MANSION	864	n/a	0	0	0.5869140625	0.422607421875	upper	../fonts/amplitud.ttf
365.344	n/a	WORD	182672	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	PASSAGE	1019	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
369.238	n/a	WORD	184619	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	PENGUIN	1044	n/a	1	1	0.412841796875	0.57763671875	lower	../fonts/zerothre.ttf
375.03	n/a	REC_START	187515	n/a	LTP191	ltpFR	15	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
376.202	n/a	REC_WORD	188101	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	PENGUIN	1044	n/a	1	n/a	n/a	n/a	n/a	n/a
377.72	n/a	REC_WORD	188860	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	PASSAGE	1019	n/a	1	n/a	n/a	n/a	n/a	n/a
379.864	n/a	REC_WORD	189932	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	ANIMAL	23	n/a	1	n/a	n/a	n/a	n/a	n/a
381.106	n/a	REC_WORD	190553	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	CREATURE	403	n/a	1	n/a	n/a	n/a	n/a	n/a
382.752	n/a	REC_WORD	191376	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	0	DOG	480	n/a	1	n/a	n/a	n/a	n/a	n/a
383.916	n/a	REC_WORD	191958	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP191	ltpFR	15	1	1	RACCOON	1153	n/a	1	n/a	n/a	n/a	n/a	n/a
