onset	duration	trial_type	sample	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
237.964	n/a	SESS_START	118982	n/a	LTP278	ltpFR	19	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a	n/a	n/a
276.186	n/a	WORD	138093	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	CLAW	319	3	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
280.35	n/a	WORD	140175	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	ORCHID	982	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
284.516	n/a	WORD	142258	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	DAISY	435	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
288.666	n/a	WORD	144333	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	CRAB	397	n/a	1	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
292.882	n/a	WORD	146441	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	STAKE	1368	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
296.898	n/a	WORD	148449	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	ATMOSPHERE	54	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
300.73	n/a	WORD	150365	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	NITROGEN	954	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
304.644	n/a	WORD	152322	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	MOUSE	925	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
308.726	n/a	WORD	154363	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	MOUNTAIN	924	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
312.91	n/a	WORD	156455	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	BUCKET	184	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
316.926	n/a	WORD	158463	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	1	CIGARETTE	309	n/a	0	0	0.5869140625	0.422607421875	lower	../fonts/zerothre.ttf
320.838	n/a	WORD	160419	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	SIBLING	1301	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
324.99	n/a	WORD	162495	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	WATERFALL	1595	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
328.988	n/a	WORD	164494	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	STEREO	1378	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
332.936	n/a	WORD	166468	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	SHEEP	1278	n/a	1	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
337.102	n/a	WORD	168551	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP278	ltpFR	19	1	0	DUST	508	n/a	0	1	0.412841796875	0.57763671875	upper	../fonts/amplitud.ttf
