mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_resp	recog_conf	resp	color_r	color_g	color_b	case	font
0	SESS_START	n/a	LTP074	ltpFR	3	n/a	n/a	n/a	n/a	0	3	n/a	n/a	n/a	n/a	n/a	n/a
50857	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	FLAG	573	1	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
54910	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	GALAXY	617	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
59031	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	DOG	480	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
62851	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	ACROBAT	4	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
66996	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	TERMITE	1451	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
70942	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	FOOT	590	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
75020	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	SOCK	1339	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
79207	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	GEM	629	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
83253	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	DESIGNER	451	n/a	n/a	1	0.422607421875	0.5869140625	0	lower	zerothre.ttf
87081	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	DAISY	435	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
91118	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	HONEY	713	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
95239	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	MARROW	872	n/a	n/a	0	0.422607421875	0.5869140625	0	lower	zerothre.ttf
99142	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	COLESLAW	344	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
103305	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	STEW	1380	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
107342	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	ANTEATER	26	n/a	n/a	1	0.57763671875	0.412841796875	1	upper	amplitud.ttf
111420	WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	1	CLOSET	326	n/a	n/a	0	0.57763671875	0.412841796875	1	upper	amplitud.ttf
117397	REC_START	n/a	LTP074	ltpFR	3	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
117931	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	DESIGNER	451	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a
118849	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	DAISY	435	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
119712	REC_WORD	wordpools/wasnorm_wordpool.txt	LTP074	ltpFR	3	1	0	HONEY	713	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a
