mstime	trial_type	stim_file	subject	experiment	session	trial	task	item_name	item_num	recog_conf	resp	color_b	color_g	color_r	case	font
0	SESS_START	n/a	LTP290	ltpFR	0	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a
196840	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	SERVER	1272	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
200779	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	TURNIP	1521	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
204761	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	ORCHID	982	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
208584	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	BRIEFCASE	175	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
212791	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	LAGOON	795	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
216990	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	FEAST	556	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
221115	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	CABINET	212	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
225037	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	CONTRACTOR	369	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
229262	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	NAVIGATOR	938	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
233201	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	VIKING	1565	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
237367	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	COCKTAIL	338	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
241566	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	DOG	480	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
245782	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	SKYSCRAPER	1322	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
249764	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	FLESH	579	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
253621	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	NAPKIN	937	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
257526	WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	VEAL	1551	n/a	-1	1	1.0	1.0	upper	../fonts/Verdana.ttf
263241	REC_START	n/a	LTP290	ltpFR	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
265105	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	VEAL	1551	n/a	-1	n/a	n/a	n/a	n/a	n/a
265810	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	CABINET	212	n/a	-1	n/a	n/a	n/a	n/a	n/a
266580	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	DOG	480	n/a	-1	n/a	n/a	n/a	n/a	n/a
267132	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	SKYSCRAPER	1322	n/a	-1	n/a	n/a	n/a	n/a	n/a
268219	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	FLESH	579	n/a	-1	n/a	n/a	n/a	n/a	n/a
271380	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	ORCHID	982	n/a	-1	n/a	n/a	n/a	n/a	n/a
272054	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	BRIEFCASE	175	n/a	-1	n/a	n/a	n/a	n/a	n/a
275065	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	TURNIP	1521	n/a	-1	n/a	n/a	n/a	n/a	n/a
283165	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	CABINET	212	n/a	-1	n/a	n/a	n/a	n/a	n/a
283951	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	CONTRACTOR	369	n/a	-1	n/a	n/a	n/a	n/a	n/a
285075	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	VIKING	1565	n/a	-1	n/a	n/a	n/a	n/a	n/a
287656	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	NAVIGATOR	938	n/a	-1	n/a	n/a	n/a	n/a	n/a
291827	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	LAGOON	795	n/a	-1	n/a	n/a	n/a	n/a	n/a
292540	REC_WORD	wordpools/wasnorm_wordpool_less_exclusions.txt	LTP290	ltpFR	0	1	-1	FEAST	556	n/a	-1	n/a	n/a	n/a	n/a	n/a
